"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 11 04:45:37 GMT 2025","Fri Jul 11 04:45:38 GMT 2025","234","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","createNewBooking","createNewBooking(String, String, int, boolean, String, String, String) [3] Tom, White, 333, true, 2023-07-20, 2023-07-25, None",""
"passed","Fri Jul 11 04:45:38 GMT 2025","Fri Jul 11 04:45:39 GMT 2025","470","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","updateBooking_withValidToken_shouldSucceed","updateBooking_withValidToken_shouldSucceed(String, String, int, boolean, String, String, String) [2] Sarah, Smith, 222, false, 2023-05-10, 2023-05-15, Lunch",""
"passed","Fri Jul 11 04:45:40 GMT 2025","Fri Jul 11 04:45:40 GMT 2025","260","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","getAllBookingIds","getAllBookingIds()",""
"passed","Fri Jul 11 04:45:40 GMT 2025","Fri Jul 11 04:45:41 GMT 2025","629","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","testGetBookingSchemaJSON","testGetBookingSchemaJSON()",""
"failed","Fri Jul 11 04:45:41 GMT 2025","Fri Jul 11 04:45:41 GMT 2025","152","","com.example.restassured.tests.RestfulBookerNegativeTests","","com.example.restassured.tests.RestfulBookerNegativeTests","createNewBooking_withMissingField_shouldFail","createNewBooking_withMissingField_shouldFail()",""
"failed","Fri Jul 11 04:45:41 GMT 2025","Fri Jul 11 04:45:41 GMT 2025","173","","com.example.restassured.tests.RestfulBookerNegativeTests","","com.example.restassured.tests.RestfulBookerNegativeTests","createNewBooking_withInvalidType_shouldFail","createNewBooking_withInvalidType_shouldFail()",""
"passed","Fri Jul 11 04:45:42 GMT 2025","Fri Jul 11 04:45:42 GMT 2025","298","","com.example.restassured.tests.RestfulBookerNegativeTests","","com.example.restassured.tests.RestfulBookerNegativeTests","updateBooking_withoutToken_shouldFail","updateBooking_withoutToken_shouldFail()",""
"passed","Fri Jul 11 04:45:40 GMT 2025","Fri Jul 11 04:45:40 GMT 2025","318","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","getBookingById_shouldReturnBookingDetails","getBookingById_shouldReturnBookingDetails()",""
"passed","Fri Jul 11 04:45:39 GMT 2025","Fri Jul 11 04:45:40 GMT 2025","530","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","deleteBooking_withValidToken_shouldSucceed","deleteBooking_withValidToken_shouldSucceed()",""
"passed","Fri Jul 11 04:45:37 GMT 2025","Fri Jul 11 04:45:37 GMT 2025","246","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","createNewBooking","createNewBooking(String, String, int, boolean, String, String, String) [2] Sarah, Smith, 222, false, 2023-05-10, 2023-05-15, Lunch",""
"passed","Fri Jul 11 04:45:42 GMT 2025","Fri Jul 11 04:45:42 GMT 2025","130","","com.example.restassured.tests.RestfulBookerNegativeTests","","com.example.restassured.tests.RestfulBookerNegativeTests","getBookingByInvalidId_shouldFail","getBookingByInvalidId_shouldFail()",""
"passed","Fri Jul 11 04:45:42 GMT 2025","Fri Jul 11 04:45:42 GMT 2025","265","","com.example.restassured.tests.RestfulBookerNegativeTests","","com.example.restassured.tests.RestfulBookerNegativeTests","deleteBooking_withInvalidId_shouldFail","deleteBooking_withInvalidId_shouldFail()",""
"passed","Fri Jul 11 04:45:39 GMT 2025","Fri Jul 11 04:45:39 GMT 2025","459","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","updateBooking_withValidToken_shouldSucceed","updateBooking_withValidToken_shouldSucceed(String, String, int, boolean, String, String, String) [3] Tom, White, 333, true, 2023-07-20, 2023-07-25, None",""
"passed","Fri Jul 11 04:45:33 GMT 2025","Fri Jul 11 04:45:37 GMT 2025","3762","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","createNewBooking","createNewBooking(String, String, int, boolean, String, String, String) [1] Jim, Brown, 111, true, 2023-01-01, 2023-01-02, Breakfast",""
"passed","Fri Jul 11 04:45:41 GMT 2025","Fri Jul 11 04:45:41 GMT 2025","285","","com.example.restassured.tests.RestfulBookerNegativeTests","","com.example.restassured.tests.RestfulBookerNegativeTests","testGetBookingInvalidSchemaJSON_shouldFail","testGetBookingInvalidSchemaJSON_shouldFail()",""
"passed","Fri Jul 11 04:45:38 GMT 2025","Fri Jul 11 04:45:38 GMT 2025","541","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","updateBooking_withValidToken_shouldSucceed","updateBooking_withValidToken_shouldSucceed(String, String, int, boolean, String, String, String) [1] Jim, Brown, 111, true, 2023-01-01, 2023-01-02, Breakfast",""
