"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 10 11:04:22 GMT 2025","Thu Jul 10 11:04:22 GMT 2025","163","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","getBookingById_shouldReturnBookingDetails","getBookingById_shouldReturnBookingDetails()",""
"passed","Thu Jul 10 11:04:22 GMT 2025","Thu Jul 10 11:04:22 GMT 2025","415","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","testGetBookingSchemaJSON","testGetBookingSchemaJSON()",""
"passed","Thu Jul 10 11:04:22 GMT 2025","Thu Jul 10 11:04:22 GMT 2025","140","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","getAllBookingIds","getAllBookingIds()",""
"passed","Thu Jul 10 11:04:17 GMT 2025","Thu Jul 10 11:04:20 GMT 2025","2786","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","createNewBooking","createNewBooking(String, String, int, boolean, String, String, String) [1] Jim, Brown, 111, true, 2023-01-01, 2023-01-02, Breakfast",""
"passed","Thu Jul 10 11:04:21 GMT 2025","Thu Jul 10 11:04:21 GMT 2025","231","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","updateBooking_withValidToken_shouldSucceed","updateBooking_withValidToken_shouldSucceed(String, String, int, boolean, String, String, String) [3] Tom, White, 333, true, 2023-07-20, 2023-07-25, None",""
"passed","Thu Jul 10 11:04:21 GMT 2025","Thu Jul 10 11:04:21 GMT 2025","309","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","updateBooking_withValidToken_shouldSucceed","updateBooking_withValidToken_shouldSucceed(String, String, int, boolean, String, String, String) [1] Jim, Brown, 111, true, 2023-01-01, 2023-01-02, Breakfast",""
"passed","Thu Jul 10 11:04:21 GMT 2025","Thu Jul 10 11:04:21 GMT 2025","156","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","createNewBooking","createNewBooking(String, String, int, boolean, String, String, String) [3] Tom, White, 333, true, 2023-07-20, 2023-07-25, None",""
"passed","Thu Jul 10 11:04:21 GMT 2025","Thu Jul 10 11:04:22 GMT 2025","223","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","deleteBooking_withValidToken_shouldSucceed","deleteBooking_withValidToken_shouldSucceed()",""
"passed","Thu Jul 10 11:04:20 GMT 2025","Thu Jul 10 11:04:21 GMT 2025","210","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","createNewBooking","createNewBooking(String, String, int, boolean, String, String, String) [2] Sarah, Smith, 222, false, 2023-05-10, 2023-05-15, Lunch",""
"passed","Thu Jul 10 11:04:21 GMT 2025","Thu Jul 10 11:04:21 GMT 2025","243","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","updateBooking_withValidToken_shouldSucceed","updateBooking_withValidToken_shouldSucceed(String, String, int, boolean, String, String, String) [2] Sarah, Smith, 222, false, 2023-05-10, 2023-05-15, Lunch",""
